 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8444422989410 ;SP ;SOROCABA ;CAJURU DO SUL ;RUA NICOLA GATTONE, N. SN, LT 33, QD P ;149.004,68;103.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422989410
 1444421507201 ;SP ;SOROCABA ;VILA TRUJILLO ;AVENIDA GONCALVES MAGALHAES, N. SN, PT LT 13, QD 43 ;600.000,00;343.684,74;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 408.80 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444421507201
 8444418437042 ;SP ;SUMARE ;PARQUE RESIDENCIAL SALERNO (NOVA VENEZA) ;RUA BATATAIS, N. 267, QD H LT 01-A LOT PARQUE RES SALERNO ;98.873,99;194.000,00;49.04;Casa, 0.00 de área total, 69.36 de área privativa, 143.32 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418437042
 8555505847097 ;SP ;SUMARE ;JARDIM SANTA TEREZINHA (NOVA VENEZA) ;RUA  SAO COSME, N. 5, Apto 41, BL 28 ;120.882,70;200.000,00;39.56;Apartamento, 0.00 de área total, 48.79 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505847097
 8444422821226 ;SP ;SUMARE ;CENTRO ;RUA JOAO BONIFACIO, N. 252, LOTE-01A/QUADRA-J ;113.629,74;188.000,00;39.56;Casa, 0.00 de área total, 62.44 de área privativa, 149.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422821226
 8787702127438 ;SP ;SUMARE ;JARDIM MARIA LUIZA ;RUA ODETTE JONES GIGO, N. 353, Apto 1202, TORRE 05 ;156.137,65;255.000,00;38.77;Apartamento, 0.00 de área total, 49.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702127438
 1444412312223 ;SP ;SUMARE ;JARDIM DOS IPES ;RUA IDALINA RODRIGUES DA SILVA, N. 445, LT 02A, QD 03 ;159.328,58;250.000,00;36.27;Casa, 0.00 de área total, 75.00 de área privativa, 126.10 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412312223
 8444414977778 ;SP ;SUMARE ;PARQUE VILLA FLORES ;AVENIDA IPE ROXO, N. 610, CS 22 ;203.994,58;282.622,22;27.83;Casa, 0.00 de área total, 42.41 de área privativa, 31.73 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414977778
 1444407411510 ;SP ;SUMARE ;PARQUE JOAO DE VASCONCELOS ;RUA MARTHA NEIDE SQUARIZZI, N. 288, Apto 21-A, BL 03 A, PAV 2 ;195.571,23;210.000,00;6.88;Apartamento, 0.00 de área total, 63.05 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407411510
 8555537728280 ;SP ;SUMARE ;PARQUE YOLANDA (NOVA VENEZA) ;AVENIDA EMILIO BOSCO, N. 1565, Apto 51, TORRE 07 ;180.000,00;180.000,00;0.00;Apartamento, 0.00 de área total, 45.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537728280
 8444416563580 ;SP ;SUMARE ;JARDIM RECANTO DOS SONHOS ;RUA JOSE VIEIRA DOS SANTOS - ANTIGA RUA A, N. 564, Apto 43, BL 10 ;243.000,00;243.000,00;0.00;Apartamento, 0.00 de área total, 48.79 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416563580
 1444415049140 ;SP ;SUMARE ;JARDIM MARIA ANTONIA ;RUA WILSON DOMINGOS CONSULIN, N. 479, LT 14A, QD 68 ;287.741,57;278.000,00;0.00;Casa, 0.00 de área total, 61.52 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415049140
 1444419353391 ;SP ;SUMARE ;JARDIM BELA VISTA ;RUA ITAIPU, N. 140, Apto 22, BL 18 ;236.752,20;183.973,00;0.00;Apartamento, 0.00 de área total, 45.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419353391
 8787703704790 ;SP ;SUZANO ;PARQUE SANTA ROSA ;ESTRADA SANTA MONICA, N. 1373, Apto 203, BL 21, BOX 39 ;100.741,08;170.000,00;40.75;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703704790
 8555533399907 ;SP ;SUZANO ;VILA URUPES ;RUA BIOTONICO, N. 655, Apto 22, TORRE 13 ;107.259,62;181.000,00;40.75;Apartamento, 0.00 de área total, 47.25 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533399907
 8787704984532 ;SP ;SUZANO ;VILA COLORADO ;RUA DOIS, N. SN, Apto 3, BLOCO 08 PAVIMENTO TERREO ;105.185,54;177.500,00;40.75;Apartamento, 0.00 de área total, 42.39 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704984532
